Event,Medal,Rank,Country,Country_Code,Athlete,Continent,Host City,Year
500m women,Silver,2,German Democratic Republic (Germany),GDR,Christa LUDING-ROTHENBURGER,Europe,Calgary,1988
500m women,Bronze,3,German Democratic Republic (Germany),GDR,Karin ENKE,Europe,Calgary,1988
5000m women,Gold,1,Netherlands,NED,Yvonne VAN GENNIP,Europe,Calgary,1988
5000m women,Silver,2,German Democratic Republic (Germany),GDR,Andrea EHRIG,Europe,Calgary,1988
5000m women,Bronze,3,German Democratic Republic (Germany),GDR,Gabi ZANGE,Europe,Calgary,1988
1000m women,Gold,1,German Democratic Republic (Germany),GDR,Christa LUDING-ROTHENBURGER,Europe,Calgary,1988
1000m women,Silver,2,German Democratic Republic (Germany),GDR,Karin ENKE,Europe,Calgary,1988
1000m women,Bronze,3,United States of America,USA,Bonnie BLAIR,North America,Calgary,1988
10000m men,Gold,1,Sweden,SWE,Tomas GUSTAFSON,Europe,Calgary,1988
10000m men,Silver,2,Austria,AUT,Michael HADSCHIEFF,Europe,Calgary,1988
10000m men,Bronze,3,Netherlands,NED,Leo VISSER,Europe,Calgary,1988
500m women,Gold,1,German Democratic Republic (Germany),GDR,Christa LUDING-ROTHENBURGER,Europe,Sarajevo,1984
500m women,Silver,2,German Democratic Republic (Germany),GDR,Karin ENKE,Europe,Sarajevo,1984
500m women,Bronze,3,Soviet Union,URS,Nataliya Shive-Glebova,Europe,Sarajevo,1984
5000m men,Gold,1,Sweden,SWE,Tomas GUSTAFSON,Europe,Sarajevo,1984
5000m men,Silver,2,Soviet Union,URS,Igor MALKOV,Europe,Sarajevo,1984
5000m men,Bronze,3,German Democratic Republic (Germany),GDR,René SCHÖFISCH,Europe,Sarajevo,1984
1000m women,Gold,1,German Democratic Republic (Germany),GDR,Karin ENKE,Europe,Sarajevo,1984
1000m women,Silver,2,German Democratic Republic (Germany),GDR,Andrea EHRIG,Europe,Sarajevo,1984
1000m women,Bronze,3,Soviet Union,URS,Nataliya Petrusyova,Europe,Sarajevo,1984
1000m men,Gold,1,Canada,CAN,Gaetan BOUCHER,North America,Sarajevo,1984
1000m men,Silver,2,Soviet Union,URS,Sergey KHLEBNIKOV,Europe,Sarajevo,1984
1000m men,Bronze,3,Norway,NOR,Kai Arne ENGELSTAD,Europe,Sarajevo,1984
1500m women,Gold,1,German Democratic Republic (Germany),GDR,Karin ENKE,Europe,Sarajevo,1984
1500m women,Silver,2,German Democratic Republic (Germany),GDR,Andrea EHRIG,Europe,Sarajevo,1984
1500m women,Bronze,3,Soviet Union,URS,Nataliya Petrusyova,Europe,Sarajevo,1984
3000m women,Gold,1,German Democratic Republic (Germany),GDR,Andrea EHRIG,Europe,Sarajevo,1984
3000m women,Silver,2,German Democratic Republic (Germany),GDR,Karin ENKE,Europe,Sarajevo,1984
3000m women,Bronze,3,German Democratic Republic (Germany),GDR,Gabi ZANGE,Europe,Sarajevo,1984
10000m men,Gold,1,Soviet Union,URS,Igor MALKOV,Europe,Sarajevo,1984
10000m men,Silver,2,Sweden,SWE,Tomas GUSTAFSON,Europe,Sarajevo,1984
10000m men,Bronze,3,German Democratic Republic (Germany),GDR,René SCHÖFISCH,Europe,Sarajevo,1984
500m men,Gold,1,Soviet Union,URS,Sergey FOKICHEV,Europe,Sarajevo,1984
500m men,Silver,2,Japan,JPN,Yoshihiro KITAZAWA,Asia,Sarajevo,1984
500m men,Bronze,3,Canada,CAN,Gaetan BOUCHER,North America,Sarajevo,1984
1500m men,Gold,1,Canada,CAN,Gaetan BOUCHER,North America,Sarajevo,1984
1500m men,Silver,2,Soviet Union,URS,Sergey KHLEBNIKOV,Europe,Sarajevo,1984
1500m men,Bronze,3,Soviet Union,URS,Oleg BOZHYEV,Europe,Sarajevo,1984
1500m women,Gold,1,Netherlands,NED,Annie BORCKINK,Europe,Lake-Placid,1980
1500m women,Silver,2,Netherlands,NED,Adriana VISSER,Europe,Lake-Placid,1980
1500m women,Bronze,3,German Democratic Republic (Germany),GDR,Sabine BECKER,Europe,Lake-Placid,1980
1000m women,Gold,1,Soviet Union,URS,Nataliya Petrusyova,Europe,Lake-Placid,1980
1000m women,Silver,2,United States of America,USA,Leah MUELLER,North America,Lake-Placid,1980
1000m women,Bronze,3,German Democratic Republic (Germany),GDR,Sylvia Albrecht,Europe,Lake-Placid,1980
1500m men,Gold,1,United States of America,USA,Eric HEIDEN,North America,Lake-Placid,1980
1500m men,Silver,2,Norway,NOR,Kai Arne STENSHJEMMET,Europe,Lake-Placid,1980
1500m men,Bronze,3,Norway,NOR,Terje ANDERSEN,Europe,Lake-Placid,1980
10000m men,Gold,1,United States of America,USA,Eric HEIDEN,North America,Lake-Placid,1980
10000m men,Silver,2,Netherlands,NED,Piet KLEINE,Europe,Lake-Placid,1980
10000m men,Bronze,3,Norway,NOR,Tom Erik OXHOLM,Europe,Lake-Placid,1980
5000m men,Gold,1,United States of America,USA,Eric HEIDEN,North America,Lake-Placid,1980
5000m men,Silver,2,Norway,NOR,Kai Arne STENSHJEMMET,Europe,Lake-Placid,1980
5000m men,Bronze,3,Norway,NOR,Tom Erik OXHOLM,Europe,Lake-Placid,1980
1000m men,Gold,1,United States of America,USA,Eric HEIDEN,North America,Lake-Placid,1980
1000m men,Silver,2,Canada,CAN,Gaetan BOUCHER,North America,Lake-Placid,1980
1000m men,Bronze,3,Soviet Union,URS,Vladimir LOBANOV,Europe,Lake-Placid,1980
1000m men,Bronze,3,Norway,NOR,Frode RÖNNING,Europe,Lake-Placid,1980
500m women,Gold,1,German Democratic Republic (Germany),GDR,Karin ENKE,Europe,Lake-Placid,1980
500m women,Silver,2,United States of America,USA,Leah MUELLER,North America,Lake-Placid,1980
500m women,Bronze,3,Soviet Union,URS,Nataliya Petrusyova,Europe,Lake-Placid,1980
3000m women,Gold,1,Norway,NOR,Björg Eva JENSEN,Europe,Lake-Placid,1980
3000m women,Silver,2,German Democratic Republic (Germany),GDR,Sabine BECKER,Europe,Lake-Placid,1980
